Scrapping_time,Short_name,Name,Market_cap,Price,Volume,High,Low,OpenPrice,ClosePrice
2.02E+13,BTC,Bitcoin,95365302676.00 ,5400.11,14313997303.00 ,5359.93,5257.34,5335.88,5314.53
2.02E+13,ETH,Ethereum,18226685839.00 ,172.33,6001584621.00 ,174.42,167.43,173.72,170.05
2.02E+13,XRP,XRP,13615849623.00 ,0.324413,1082939636.00 ,0.329627,0.318746,0.328678,0.322449
2.02E+13,BCH,Bitcoin Cash,5197094821.00 ,292.92,1179370394.00 ,303.33,281.9,300.81,290.48
2.02E+13,EOS,EOS,4945455883.00 ,5.25,1891797215.00 ,5.48,5.06,5.47,5.25
2.02E+13,LTC,Litecoin,4723203234.00 ,76.86,2641325306.00 ,81.89,75.02,81.52,77.33
2.02E+13,BNB,Binance Coin,3443822398.00 ,24.39,238260276.00 ,24.99,22.79,24.99,24.19
2.02E+13,USDT,Tether,2611924728.00 ,1.01,12039930261.00 ,1.01,1,1.01,1.01
2.02E+13,XLM,Stellar,2205491412.00 ,0.113899,246213988.00 ,0.115828,0.110109,0.115479,0.112404
2.02E+13,ADA,Cardano,1970807617.00 ,0.076014,79612333.00 ,0.077978,0.071989,0.076556,0.074106
2.02E+13,TRX,TRON,1685572908.00 ,0.025278,374955736.00 ,0.026383,0.024414,0.026176,0.024985
2.02E+13,XMR,Monero,1167802752.00 ,68.96,104467167.00 ,70.09,67.41,69.59,68.72
2.02E+13,DASH,Dash,1079785981.00 ,123.2,260228170.00 ,124.19,118.73,123.59,121.56
2.02E+13,BSV,Bitcoin SV,1033757969.00 ,58.27,110419019.00 ,58.85,55.09,58.77,56.63
2.02E+13,XTZ,Tezos,891088788.00 ,1.35,4750242.00 ,1.36,1.3,1.34,1.32
2.02E+13,MIOTA,IOTA,865033776.00 ,0.311216,11804827.00 ,0.315263,0.299472,0.312651,0.306223
2.02E+13,NEO,NEO,704643704.00 ,10.84,247998037.00 ,11.04,10.26,10.92,10.55
2.02E+13,ETC,Ethereum Classic,654689426.00 ,5.96,374130164.00 ,6.25,5.76,6.24,5.93
2.02E+13,MKR,Maker,608209534.00 ,608.21,1359573.00 ,621.49,597.97,620.64,603.4
2.02E+13,ONT,Ontology,609367667.00 ,1.23,80439603.00 ,1.33,1.19,1.31,1.23
2.02E+13,XEM,NEM,578878162.00 ,0.06432,24836462.00 ,0.066334,0.062458,0.064328,0.063279
2.02E+13,BAT,Basic Attenti...,528160936.00 ,0.422548,96878864.00 ,0.499337,0.404576,0.414279,0.444291
2.02E+13,CRO,Crypto.com Chain,427653870.00 ,0.082845,554665.00 ,0.091748,0.081421,0.08653,0.083037
2.02E+13,ZEC,Zcash,446448868.00 ,70.04,210819334.00 ,70.2,66.94,69.77,68.27
2.02E+13,VET,VeChain,388322362.00 ,0.007003,20179446.00 ,0.007067,0.006614,0.007025,0.006816
2.02E+13,DOGE,Dogecoin,333001393.00 ,0.002794,36095127.00 ,0.002906,0.002724,0.0029,0.00276
2.02E+13,BTG,Bitcoin Gold,301725176.00 ,17.23,15177853.00 ,17.32,16.43,17.27,16.68
2.02E+13,WAVES,Waves,263636868.00 ,2.64,18702885.00 ,2.68,2.56,2.67,2.61
2.02E+13,OMG,OmiseGO,262906023.00 ,1.87,78126371.00 ,1.97,1.79,1.96,1.86
2.02E+13,USDC,USD Coin,251808226.00 ,1,41996083.00 ,1.01,0.994411,1,1
2.02E+13,DCR,Decred,247978279.00 ,25.65,1557030.00 ,25.88,24.94,25.57,25.49
2.02E+13,QTUM,Qtum,249012710.00 ,2.78,116840219.00 ,2.9,2.65,2.88,2.72
2.02E+13,LSK,Lisk,232673289.00 ,2,4867908.00 ,2.04,1.95,2.03,1.99
2.02E+13,REP,Augur,252379442.00 ,22.94,14712850.00 ,21.72,20.2,21.68,20.89
2.02E+13,NANO,Nano,234217914.00 ,1.76,10570655.00 ,1.73,1.59,1.72,1.68
2.02E+13,RVN,Ravencoin,208904467.00 ,0.061796,13364767.00 ,0.067284,0.061098,0.065369,0.063097
2.02E+13,TUSD,TrueUSD,200954674.00 ,1.01,82332539.00 ,1.01,1,1.01,1.01
2.02E+13,BCD,Bitcoin Diamond,199321266.00 ,1.07,3822810.00 ,1.14,1.04,1.11,1.06
2.02E+13,HOT,Holo,186928783.00 ,0.001403,11257608.00 ,0.001465,0.001366,0.001448,0.001389
2.02E+13,ZRX,0x,185352630.00 ,0.315381,17557551.00 ,0.325826,0.305611,0.322933,0.314682
2.02E+13,ZIL,Zilliqa,184382863.00 ,0.021223,11851787.00 ,0.021936,0.020086,0.021883,0.021047
2.02E+13,LINK,Chainlink,175405127.00 ,0.501158,5453921.00 ,0.516346,0.481099,0.515529,0.499498
2.02E+13,ICX,ICON,190481712.00 ,0.402364,24091423.00 ,0.380703,0.348431,0.37809,0.361229
2.02E+13,BCN,Bytecoin,166940956.00 ,0.000907,174875.00 ,0.000928,0.000879,0.000923,0.000888
2.02E+13,BTS,BitShares,165122104.00 ,0.060914,9713162.00 ,0.065344,0.059194,0.061841,0.061354
2.02E+13,IOST,IOST,162325187.00 ,0.013511,27477049.00 ,0.014426,0.0126,0.013799,0.013926
2.02E+13,BTT,BitTorrent,152377778.00 ,0.000718,111193385.00 ,0.00074,0.000695,0.000734,0.000722
2.02E+13,DGB,DigiByte,155071442.00 ,0.013249,1328824.00 ,0.013336,0.012583,0.013186,0.012708
2.02E+13,ENJ,Enjin Coin,143721644.00 ,0.187355,15752878.00 ,0.203365,0.180078,0.20327,0.189409
2.02E+13,AE,Aeternity,146534361.00 ,0.562636,40313633.00 ,0.599318,0.520761,0.579381,0.547985
2.02E+13,NPXS,Pundi X,135390371.00 ,0.000696,4750514.00 ,0.000708,0.00067,0.000693,0.00069
2.02E+13,XVG,Verge,134668506.00 ,0.008469,2387878.00 ,0.008539,0.00803,0.008472,0.008214
2.02E+13,STEEM,Steem,130827452.00 ,0.419394,1119122.00 ,0.448129,0.408328,0.447421,0.415771
2.02E+13,KMD,Komodo,122993787.00 ,1.09,854074.00 ,1.12,1.05,1.11,1.09
